1.1.1.7,[80, 25, 443, 110]
1.1.1.3,[80, 25, 443, 110]
1.1.1.2,[80, 25, 443, 110]
1.1.1.8,[80, 25, 443, 110]
8.8.8.4,[80, 25, 443, 110]
1.1.1.5,[80, 25, 443, 110]
8.8.8.1,[80, 25, 443, 110]
1.1.1.1,[80, 25, 443, 110]
8.8.8.3,[80, 25, 443, 110]
8.8.8.5,[80, 25, 443, 110]
8.8.8.6,[80, 25, 443, 110]
1.1.1.6,[80, 25, 443, 110]
8.8.8.7,[80, 25, 443, 110]
8.8.8.2,[80, 25, 443, 110]
1.1.1.4,[80, 25, 443, 110]
8.8.8.8,[80, 25, 443, 110]
10.144.38.18,[80, 8011, 8099]
10.144.38.5,[80, 8011, 8099, 8000]
10.144.38.73,[8000, 8099, 8011, 80, 8088]
10.144.38.33,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.37,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.68,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.56,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.97,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.42,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.67,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.57,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.60,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.8,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.36,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.48,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.9,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.40,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.77,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.2,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.10,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.52,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.46,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.66,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.55,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.58,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.82,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.50,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.86,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.20,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.6,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.92,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.24,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.12,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.7,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.21,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.99,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.32,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.94,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.35,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.53,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.93,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.28,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.45,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.62,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.71,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.74,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.59,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.23,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.80,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.14,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.30,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.1,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.91,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.95,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.64,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.75,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.98,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.76,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.22,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.88,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.11,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.85,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.26,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.83,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.70,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.44,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.31,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.90,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.84,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.34,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.51,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.17,[8000, 8099, 8011, 80, 8080, 8088]
10.144.38.3,[8000, 8099, 8011, 80, 8080, 8088]
1.1.1.1,[80, 443]
1.1.1.2,[80, 443]
1.1.1.4,[80, 443]
1.1.1.1,[80, 443]
1.1.1.1,[80, 443]
1.1.1.1,[80, 443]
1.1.1.1,[80, 443]
1.1.1.1,[80, 443]
1.1.1.1,[80, 443]
1.1.1.1,[80, 443]
1.1.1.1,[80, 443]
1.1.1.1,[80, 443]
1.1.1.1,[80, 443]
1.1.1.1,[80, 443]
1.1.1.1,[80, 53, 443, 853]
